NAME	DESCRIPTION	X5p4_25c	X5p4_27c	X5p4_28c	X5p4_29c	X5p4_30c	X5p4_31cfoxc1	X5p4_32cfoxc1	X5p4_33cfoxc1	X5p4_34cfoxc1	X5p4_35cfoxc1
ENSG00000003987	MTMR7	2.25136284926509	2.51486408881207	3.86515516354026	1.65529161306394	4.0210157403595	1.9041340763422	2.69532812816795	0.943011705665732	3.37259493269083	3.25678924205502
ENSG00000003989	SLC7A2	2.73161472933193	1.93706669803216	5.91908373834788	5.59386488694255	5.24787991361641	3.7865888838115	2.21764654615425	1.91365054010305	4.05273982540676	4.26204845119727
ENSG00000004059	ARF5	10.7669372108367	10.8246520410487	10.1160206093123	10.437325822311	10.4187648925287	10.537903647067	10.5689487033665	10.6683829085148	10.8497604613708	11.0198994521035
ENSG00000004139	SARM1	5.04313690726274	5.0054849423737	2.04686317874345	2.67235095769324	3.43212905431059	4.82926191977963	4.87272479480157	4.28175381422579	3.63655103410191	3.89797769593147
ENSG00000004142	POLDIP2	10.329160074487	10.3872002447472	9.96295513038936	10.2205017900013	10.1175942590611	10.2512714537464	10.1848157739343	10.3100321806936	10.5349192000521	10.7101719307373
ENSG00000004399	PLXND1	2.73161472933193	3.72902400074762	3.75790466803719	4.18578316926709	4.11461491825576	3.05558523335297	3.57942412628809	3.21767076437012	3.51060127247873	3.54821051791471
ENSG00000004455	AK2	9.25345636017036	9.06536411004901	8.93238668620545	9.0640484041675	9.25101583568413	9.08282529419337	9.16556140389759	9.07617926597365	9.38701950324065	9.52976919749829
ENSG00000004468	CD38	2.25136284926509	0.958350958458163	1.03141064383697	1.05306563091154	1.66739116490218	2.219438806154	1.4985931079719	0.943011705665732	1.02836762539338	1.04950297259375
ENSG00000004478	FKBP4	10.0354439816262	10.1127545700449	10.2054813826019	10.0641493897408	10.2829713948409	9.85526089901645	9.89092646769594	9.99883227019954	10.0291131503386	10.0324324325457
ENSG00000004487	KDM1A	9.4812167004845	9.41940937359339	9.40857224171592	9.30620150105525	9.2765545915484	9.41004952346524	9.52502175876278	9.5597845084077	9.22351050172307	9.41688832908486
ENSG00000004534	RBM6	9.28641793727609	9.17534900330318	8.78310698518166	8.61967346394199	8.94186188180122	9.2866487156796	9.1860547217009	9.08355773998842	9.08398862088399	8.80794526909846
ENSG00000004660	CAMKK1	6.66697554814816	6.99292407785232	5.4530202651606	4.95875728846319	5.32823125751915	7.03152583204783	6.55626358424613	6.73022243702445	6.18468374281447	5.64994780698276
ENSG00000004700	RECQL	6.97801285351712	6.8350462998687	7.11697693378686	6.73258882902089	6.73545782165305	7.10042907273765	7.12671415429511	6.89584540024299	6.20515893953327	6.28589780115506
ENSG00000004766	VPS50	7.69301641559283	7.4705155940573	8.44998764106371	8.2434431094843	8.24046203667463	7.32269274834191	7.73320346803079	7.5985016444584	8.10582877862695	8.00386180368348
ENSG00000004777	ARHGAP33	2.92263882212404	3.09503000325706	2.86079028305219	2.40592078242111	2.42029204535464	3.46689940604452	3.34032742706063	3.21767076437012	2.63193665646246	1.65059606252303
ENSG00000004779	NDUFAB1	7.67984484336264	7.79847562979815	7.59320455611924	7.32274182506207	7.79379367813289	7.46386662451998	7.65695197308626	7.82081168921851	7.91393163991975	7.83163108636501
ENSG00000004799	PDK4	1.93394765590505	2.73520278274915	2.04686317874345	2.67235095769324	1.66739116490218	1.9041340763422	3.05357725829601	4.06031866327227	3.21997704822924	2.40033751853954
ENSG00000004838	ZMYND10	1.52640042947981	0.958350958458163	2.3718620181941	2.07888399957946	2.42029204535464	1.9041340763422	2.21764654615425	2.48869167905425	3.37259493269083	1.65059606252303
